Index,id,member_id,loan_amnt,grade,sub_grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,addr_state,int_rate
27,69924,274280,10000,D,D4,RENT,100000,Not Verified,01-03-2008,Fully Paid,CA,13.55%
28,69990,275254,15500,A,A5,RENT,125000,Not Verified,01-02-2010,Fully Paid,CT,7.88%
29,70348,280311,9600,C,C5,RENT,78000,Not Verified,01-03-2008,Fully Paid,IL,12.29%
30,76597,76583,5000,B,B2,MORTGAGE,250000,Not Verified,01-07-2007,Fully Paid,NY,9.01%
31,84918,84914,5000,A,A2,MORTGAGE,65000,Not Verified,01-09-2007,Fully Paid,MA,7.43%
32,87023,86999,7500,E,E2,OWN,22000,Not Verified,01-06-2007,Fully Paid,MA,13.75%
33,88854,70699,5000,A,A2,RENT,200000,Not Verified,01-08-2007,Fully Paid,NY,7.43%
34,90376,89243,5000,A,A2,MORTGAGE,200000,Not Verified,01-07-2007,Fully Paid,MD,7.43%
35,90395,90390,5000,A,A4,MORTGAGE,100000,Not Verified,01-07-2007,Fully Paid,MA,8.07%
36,90665,90607,8500,C,C1,RENT,18000,Not Verified,01-07-2007,Fully Paid,NC,10.28%
37,90966,90962,5000,A,A2,MORTGAGE,150000,Not Verified,01-07-2007,Fully Paid,GA,7.43%
38,92187,92174,2500,A,A4,MORTGAGE,110000,Not Verified,01-07-2007,Fully Paid,CO,8.07%
39,92402,92390,5000,B,B1,MORTGAGE,75000,Not Verified,01-07-2007,Fully Paid,CO,8.70%
40,92440,92423,5000,A,A2,MORTGAGE,95000,Not Verified,01-07-2007,Fully Paid,MA,7.43%
41,92507,92502,5000,A,A2,OWN,85000,Not Verified,01-07-2007,Fully Paid,WI,7.43%
42,92533,92529,5000,C,C4,OWN,80000,Not Verified,01-07-2007,Fully Paid,WI,11.22%
43,92552,92542,5000,B,B5,MORTGAGE,48000,Not Verified,01-07-2007,Fully Paid,FL,9.96%
44,92666,92661,5000,B,B3,MORTGAGE,180000,Not Verified,01-07-2007,Fully Paid,WI,9.33%
45,92676,92671,5000,A,A4,MORTGAGE,180000,Not Verified,01-07-2007,Fully Paid,WI,8.07%
46,93061,93057,5000,A,A2,MORTGAGE,120000,Not Verified,01-07-2007,Fully Paid,MA,7.43%
47,93277,93254,3000,B,B1,MORTGAGE,25000,Not Verified,01-07-2007,Fully Paid,MA,8.70%
48,94838,73673,3000,C,C1,MORTGAGE,200000,Not Verified,01-07-2007,Fully Paid,NY,10.28%
49,96350,96338,5000,C,C4,OWN,30000,Not Verified,01-07-2007,Fully Paid,GA,11.22%
50,96844,95222,5300,A,A5,MORTGAGE,74000,Not Verified,01-07-2007,Fully Paid,IN,8.38%
51,98276,98268,5400,A,A3,RENT,8000,Not Verified,01-07-2007,Fully Paid,GA,7.75%
52,98339,97572,5100,A,A5,RENT,32000,Not Verified,01-07-2007,Fully Paid,IN,8.38%
53,98982,98957,5000,B,B2,RENT,73000,Not Verified,01-07-2007,Fully Paid,VA,9.01%
54,99009,98991,5750,A,A2,MORTGAGE,125000,Not Verified,01-07-2007,Fully Paid,MA,7.43%
55,100214,100208,5000,A,A2,OWN,45000,Not Verified,01-08-2007,Fully Paid,WI,7.43%
56,101579,100083,10000,C,C1,RENT,27376,Not Verified,01-07-2007,Fully Paid,CO,10.28%
57,102376,95212,25000,C,C2,RENT,48000,Not Verified,01-07-2007,Fully Paid,NY,10.59%
58,106079,106039,3500,B,B5,RENT,13500,Not Verified,01-07-2007,Fully Paid,FL,9.96%
59,106360,106333,2700,F,F4,RENT,52200,Not Verified,01-07-2007,Fully Paid,MA,15.96%
60,107136,107130,12250,C,C2,RENT,60000,Not Verified,01-07-2007,Fully Paid,FL,10.59%
61,109355,109346,1200,C,C5,RENT,20000,Not Verified,01-07-2007,Fully Paid,ME,11.54%
62,111227,111223,20000,E,E1,MORTGAGE,145000,Not Verified,01-08-2007,Charged Off,FL,13.43%
63,111307,105982,12000,D,D3,OWN,75000,Not Verified,01-08-2007,Fully Paid,FL,12.49%
64,111917,111912,6400,B,B4,RENT,60000,Not Verified,01-08-2007,Fully Paid,WI,9.64%
65,112216,106279,12000,D,D1,RENT,65000,Not Verified,01-08-2007,Fully Paid,NY,11.86%
66,112245,112227,5000,A,A2,RENT,40000,Not Verified,01-07-2007,Fully Paid,WI,7.43%
67,112323,107671,3500,C,C1,RENT,20000,Not Verified,01-07-2007,Fully Paid,MA,10.28%
68,112496,112493,3000,D,D1,MORTGAGE,36153,Not Verified,01-08-2007,Fully Paid,IN,11.86%
69,113156,113146,3500,A,A4,RENT,98000,Not Verified,01-08-2007,Fully Paid,NJ,8.07%
70,113179,113093,1000,C,C2,MORTGAGE,33990,Not Verified,01-08-2007,Charged Off,VA,10.59%
71,113194,113115,3500,B,B5,RENT,78000,Not Verified,01-08-2007,Fully Paid,NJ,9.96%
72,116040,116037,5000,B,B4,MORTGAGE,130000,Not Verified,01-08-2007,Fully Paid,CT,9.64%
73,116582,116502,10000,E,E2,RENT,35000,Not Verified,01-08-2007,Fully Paid,NY,13.75%
74,117056,117046,5000,A,A3,MORTGAGE,225000,Not Verified,01-08-2007,Fully Paid,WI,7.75%
75,117249,116607,5000,A,A2,MORTGAGE,70000,Not Verified,01-08-2007,Fully Paid,AZ,7.43%
76,117794,94256,7500,A,A4,MORTGAGE,150000,Not Verified,01-08-2007,Fully Paid,MA,8.07%
77,117863,117849,8000,B,B5,RENT,48000,Not Verified,01-08-2007,Fully Paid,MD,9.96%
78,118523,118519,6500,F,F1,MORTGAGE,213000,Not Verified,01-08-2007,Charged Off,GA,15.01%
79,118533,117783,2500,B,B4,MORTGAGE,75000,Not Verified,01-08-2007,Charged Off,NE,9.64%
80,118823,118026,2500,D,D4,MORTGAGE,32000,Not Verified,01-08-2007,Charged Off,NE,12.80%
81,119043,119040,15450,C,C4,MORTGAGE,40000,Not Verified,01-08-2007,Charged Off,VA,11.22%
82,120215,118760,4000,A,A2,RENT,40000,Not Verified,01-08-2007,Fully Paid,NJ,7.43%
83,120374,119635,2000,B,B1,RENT,70000,Not Verified,01-08-2007,Fully Paid,NY,8.70%
84,120525,120227,4000,C,C3,RENT,18000,Not Verified,01-08-2007,Fully Paid,VA,10.91%
85,121426,121423,3000,A,A3,OWN,125000,Not Verified,01-08-2007,Fully Paid,WA,7.75%
86,121530,121527,3000,A,A3,OWN,50000,Not Verified,01-08-2007,Fully Paid,WA,7.75%
87,121535,121373,2800,B,B1,NONE,120000,Not Verified,01-08-2007,Fully Paid,MA,8.70%
88,121568,121574,4000,B,B4,NONE,100000,Not Verified,01-08-2007,Fully Paid,CA,9.64%
89,121824,121808,3000,B,B1,MORTGAGE,62000,Not Verified,01-08-2007,Fully Paid,FL,8.70%
90,122070,120407,5400,D,D2,MORTGAGE,35000,Not Verified,01-08-2007,Fully Paid,MA,12.17%
91,122404,122398,12750,F,F2,RENT,60000,Not Verified,01-08-2007,Fully Paid,NY,15.33%
92,122637,104675,4000,A,A3,OWN,61800,Not Verified,01-08-2007,Fully Paid,CT,7.75%
93,122718,122713,18500,F,F2,RENT,90000,Not Verified,01-08-2007,Fully Paid,NY,15.33%
94,123228,120995,20000,B,B4,RENT,96000,Not Verified,01-09-2007,Charged Off,NY,9.64%
95,123230,80353,3175,C,C5,OWN,15000,Not Verified,01-08-2007,Charged Off,MA,11.54%
96,124436,124430,4800,C,C4,RENT,30000,Not Verified,01-09-2007,Fully Paid,NE,11.22%
97,125671,125668,12125,B,B1,MORTGAGE,150000,Not Verified,01-09-2007,Fully Paid,NY,8.70%
98,125897,124159,6625,C,C4,MORTGAGE,88000,Not Verified,01-09-2007,Fully Paid,VA,11.22%
99,126213,126209,9500,A,A4,OWN,63000,Not Verified,01-09-2007,Fully Paid,MA,8.07%
100,126215,125654,5000,A,A3,RENT,45000,Not Verified,01-09-2007,Fully Paid,OH,7.75%
101,126287,125787,10000,C,C5,MORTGAGE,225000,Not Verified,01-09-2007,Fully Paid,MA,11.54%
102,126392,125914,10000,A,A4,MORTGAGE,173000,Not Verified,01-09-2007,Fully Paid,WI,8.07%
103,126776,126773,9500,A,A4,OWN,90000,Not Verified,01-10-2007,Fully Paid,MA,8.07%
104,126788,126782,7500,B,B3,MORTGAGE,93000,Not Verified,01-09-2007,Fully Paid,FL,9.33%
105,127213,85483,2000,A,A1,MORTGAGE,118000,Not Verified,01-09-2007,Fully Paid,MA,7.12%
106,127353,127345,2850,D,D1,RENT,45000,Not Verified,01-09-2007,Fully Paid,NY,11.86%
107,127472,127460,2125,F,F1,MORTGAGE,96000,Not Verified,01-09-2007,Charged Off,NC,15.01%
108,127504,127500,10000,A,A4,MORTGAGE,150000,Not Verified,01-11-2007,Fully Paid,MA,8.07%
109,127531,127525,17000,B,B3,RENT,75000,Not Verified,01-09-2007,Fully Paid,NY,9.33%
110,127719,127716,10000,A,A4,MORTGAGE,85000,Not Verified,01-11-2007,Fully Paid,MA,8.07%
111,127830,127824,8000,D,D2,MORTGAGE,70000,Not Verified,01-09-2007,Charged Off,FL,12.17%
112,128635,127807,6500,C,C1,OWN,45000,Not Verified,01-09-2007,Fully Paid,NY,10.28%
113,128881,128775,7000,D,D3,RENT,23000,Not Verified,01-09-2007,Fully Paid,NM,12.49%
114,129745,129716,10000,C,C1,RENT,120000,Not Verified,01-09-2007,Fully Paid,NC,10.28%
115,130512,130019,7250,C,C2,MORTGAGE,57000,Not Verified,01-10-2007,Fully Paid,MD,10.59%
116,130735,130725,10250,E,E4,RENT,72000,Not Verified,01-10-2007,Fully Paid,FL,14.38%
117,130907,130904,3775,A,A2,MORTGAGE,120000,Not Verified,01-10-2007,Fully Paid,MO,7.43%
118,130986,130983,2100,A,A1,RENT,110000,Not Verified,01-10-2007,Fully Paid,MA,7.12%
119,131223,129367,20000,F,F3,RENT,92000,Not Verified,01-10-2007,Fully Paid,MD,15.65%
120,131387,113921,6000,C,C2,RENT,19000,Not Verified,01-10-2007,Fully Paid,NY,10.59%
121,131618,131612,9000,C,C4,RENT,32400,Not Verified,01-10-2007,Fully Paid,AZ,11.22%
122,131649,131639,6625,C,C4,RENT,50000,Not Verified,01-10-2007,Fully Paid,WA,11.22%
123,131782,131769,7725,E,E2,RENT,62200,Not Verified,01-10-2007,Charged Off,NY,13.75%
124,132062,130915,7200,E,E5,RENT,57000,Not Verified,01-10-2007,Fully Paid,MA,14.67%
125,132172,132154,6000,C,C1,MORTGAGE,87300,Not Verified,01-10-2007,Fully Paid,MO,10.28%
126,132892,132889,9000,D,D3,MORTGAGE,39000,Not Verified,01-10-2007,Charged Off,MD,12.49%
127,132946,132940,5275,A,A2,MORTGAGE,85000,Not Verified,01-10-2007,Fully Paid,NC,7.43%
128,133301,133259,4650,C,C1,MORTGAGE,45600,Not Verified,01-10-2007,Charged Off,MO,10.28%
129,133685,133664,6625,C,C4,RENT,57100,Not Verified,01-10-2007,Fully Paid,VA,11.22%
130,134436,134417,2525,D,D5,MORTGAGE,40000,Not Verified,01-10-2007,Fully Paid,UT,13.12%
131,135201,135198,10000,C,C4,MORTGAGE,30000,Not Verified,01-10-2007,Fully Paid,IN,11.22%
132,135594,135591,5275,A,A4,MORTGAGE,55000,Not Verified,01-10-2007,Fully Paid,NC,8.07%
133,136226,136223,4300,C,C3,RENT,36000,Not Verified,01-10-2007,Fully Paid,MA,10.91%
134,136316,136313,3025,C,C1,RENT,90000,Not Verified,01-10-2007,Fully Paid,LA,10.28%
135,136491,136485,5000,D,D2,RENT,10000,Not Verified,01-10-2007,Charged Off,MD,12.17%
136,136634,136631,8500,D,D3,MORTGAGE,85000,Not Verified,01-10-2007,Fully Paid,MD,12.49%
137,137042,136922,25000,E,E4,MORTGAGE,480000,Not Verified,01-10-2007,Fully Paid,NY,14.38%
138,137106,137103,4275,C,C1,OWN,31000,Not Verified,01-10-2007,Fully Paid,SC,10.28%
139,137271,136588,2100,D,D3,RENT,12500,Not Verified,01-10-2007,Charged Off,NC,12.49%
140,137965,137952,8000,A,A5,RENT,105000,Not Verified,01-10-2007,Fully Paid,NY,8.38%
141,138557,138075,8275,B,B2,MORTGAGE,120000,Not Verified,01-10-2007,Fully Paid,SC,9.01%
142,138568,138553,3275,B,B3,MORTGAGE,62000,Not Verified,01-10-2007,Fully Paid,NC,9.33%
143,139057,139053,5500,A,A4,RENT,54000,Not Verified,01-10-2007,Fully Paid,SC,8.07%
144,139657,139245,1200,B,B5,OWN,32000,Not Verified,01-10-2007,Fully Paid,KS,9.96%
145,139790,139779,3000,D,D3,RENT,29120,Not Verified,01-10-2007,Charged Off,NJ,12.49%
146,139968,139887,10000,D,D4,RENT,36400,Not Verified,01-10-2007,Fully Paid,AL,12.80%
147,139980,139977,12000,C,C3,MORTGAGE,39000,Not Verified,01-10-2007,Charged Off,GA,10.91%
148,140036,140027,4000,B,B5,RENT,35000,Not Verified,01-10-2007,Charged Off,NJ,9.96%
149,140452,140448,3000,B,B5,OWN,18000,Not Verified,01-10-2007,Fully Paid,NJ,9.96%
150,140561,140555,2225,C,C2,RENT,60000,Not Verified,01-10-2007,Charged Off,CA,10.59%
151,140687,139696,2825,B,B4,MORTGAGE,70000,Not Verified,01-10-2007,Fully Paid,TN,9.64%
152,140900,140897,8275,A,A4,MORTGAGE,49000,Not Verified,01-10-2007,Fully Paid,NC,8.07%
153,141041,141022,5275,B,B4,MORTGAGE,70000,Not Verified,01-10-2007,Fully Paid,NC,9.64%
154,141676,141648,6225,C,C5,RENT,45000,Not Verified,01-10-2007,Fully Paid,MA,11.54%
155,141774,141767,20000,D,D5,MORTGAGE,85000,Not Verified,01-10-2007,Charged Off,NJ,13.12%
156,142281,142269,7000,C,C1,RENT,55400,Not Verified,01-10-2007,Fully Paid,WA,10.28%
157,142608,74724,5000,C,C2,RENT,15000,Not Verified,01-10-2007,Fully Paid,ME,10.59%
158,142618,139881,4800,C,C5,RENT,25000,Not Verified,01-10-2007,Fully Paid,AL,11.54%
159,142734,142718,25000,B,B2,MORTGAGE,57000,Not Verified,01-11-2007,Fully Paid,WA,9.01%
160,142790,142781,4925,B,B5,MORTGAGE,84000,Not Verified,01-10-2007,Fully Paid,VA,9.96%
161,143102,143098,3000,C,C1,RENT,38000,Not Verified,01-10-2007,Fully Paid,LA,10.28%
162,143128,128262,8000,C,C5,RENT,50000,Not Verified,01-11-2007,Fully Paid,NH,11.54%
163,143566,143201,12375,C,C3,MORTGAGE,46713,Not Verified,01-11-2007,Fully Paid,VA,10.91%
164,144579,144575,9850,A,A3,RENT,70000,Not Verified,01-11-2007,Fully Paid,NY,7.75%
165,144635,144623,25000,D,D4,MORTGAGE,75000,Not Verified,01-11-2007,Charged Off,FL,12.80%
166,146564,138910,8275,C,C2,MORTGAGE,109000,Not Verified,01-11-2007,Charged Off,NC,10.59%
167,146641,146626,8000,D,D1,RENT,52000,Not Verified,01-11-2007,Fully Paid,UT,11.86%
168,146671,146655,25000,B,B4,MORTGAGE,78000,Not Verified,01-11-2007,Fully Paid,SD,9.64%
169,146844,146834,15450,C,C3,RENT,120000,Not Verified,01-11-2007,Charged Off,WA,10.91%
170,148473,148467,10000,B,B2,MORTGAGE,275000,Not Verified,01-11-2007,Charged Off,NY,9.01%
171,149575,149552,10000,A,A5,RENT,30000,Not Verified,01-11-2007,Fully Paid,SC,8.38%
172,149754,149751,4000,C,C3,RENT,14400,Not Verified,01-11-2007,Fully Paid,FL,10.91%
173,150940,150893,7000,C,C2,MORTGAGE,63500,Not Verified,01-11-2007,Fully Paid,AZ,10.59%
174,151587,151580,19950,B,B5,MORTGAGE,116000,Not Verified,01-11-2007,Fully Paid,MA,9.96%
175,151607,151590,1500,E,E5,RENT,25000,Not Verified,01-11-2007,Fully Paid,MD,14.70%
176,151621,151597,18000,B,B2,MORTGAGE,41000,Not Verified,01-11-2007,Fully Paid,GA,9.01%
177,152291,152282,4800,A,A3,RENT,21000,Not Verified,01-11-2007,Fully Paid,TX,7.75%
178,152663,152635,3000,B,B5,RENT,62000,Not Verified,01-11-2007,Fully Paid,VA,9.96%
179,153022,153018,3000,A,A1,MORTGAGE,93000,Not Verified,01-11-2007,Fully Paid,WA,7.12%
180,153054,152600,5875,C,C3,MORTGAGE,66000,Not Verified,01-11-2007,Fully Paid,VA,10.91%
181,153235,147832,18000,C,C5,RENT,27000,Not Verified,01-11-2007,Fully Paid,FL,11.54%
182,153434,153428,12000,C,C3,RENT,35000,Not Verified,01-11-2007,Fully Paid,MA,10.91%
183,154141,154129,5000,A,A3,MORTGAGE,52000,Not Verified,01-11-2007,Fully Paid,FL,7.75%
184,154154,151536,4800,C,C1,RENT,35000,Not Verified,01-11-2007,Fully Paid,VA,10.28%
185,154286,154264,15000,C,C1,RENT,88000,Not Verified,01-11-2007,Fully Paid,WA,10.28%
186,154305,154295,3600,C,C1,RENT,30000,Not Verified,01-11-2007,Fully Paid,MA,10.28%
187,154776,154761,6800,C,C4,RENT,51000,Not Verified,01-11-2007,Charged Off,NJ,11.22%
188,155780,155777,4800,A,A3,RENT,20000,Not Verified,01-11-2007,Fully Paid,LA,7.75%
189,156021,155549,6400,C,C5,RENT,95000,Not Verified,01-11-2007,Fully Paid,NY,11.54%
190,156417,156396,6000,A,A2,MORTGAGE,68686,Not Verified,01-11-2007,Fully Paid,DE,7.43%
191,156868,156838,24750,B,B3,RENT,60000,Not Verified,01-11-2007,Fully Paid,NY,9.33%
192,157169,157162,25000,B,B2,MORTGAGE,616000,Not Verified,01-11-2007,Charged Off,FL,9.01%
193,157768,157765,4000,B,B1,RENT,44000,Not Verified,01-12-2007,Fully Paid,TX,8.70%
194,158289,158286,9000,C,C3,RENT,80000,Not Verified,01-12-2007,Fully Paid,NY,10.91%
195,158706,158450,12375,C,C3,RENT,80000,Not Verified,01-12-2007,Fully Paid,VA,10.91%
196,159468,154318,12000,D,D1,MORTGAGE,150000,Not Verified,01-12-2007,Fully Paid,NJ,11.86%
197,159665,159644,5750,A,A2,RENT,95000,Not Verified,01-12-2007,Fully Paid,MA,7.43%
198,159713,159659,900,C,C1,RENT,12000,Not Verified,01-11-2007,Charged Off,FL,10.28%
199,161187,160991,12950,B,B5,MORTGAGE,92000,Not Verified,01-12-2007,Fully Paid,VA,9.96%
200,163627,163621,4000,C,C2,RENT,62000,Not Verified,01-12-2007,Fully Paid,WA,10.59%
201,163758,163445,3000,C,C4,MORTGAGE,32904,Not Verified,01-12-2007,Fully Paid,GA,11.22%
202,164346,163835,500,A,A4,RENT,18000,Not Verified,01-11-2007,Fully Paid,NY,8.07%
203,164741,164738,16000,C,C3,RENT,200000,Not Verified,01-12-2007,Fully Paid,NY,10.91%
204,164792,153157,17600,B,B1,RENT,153000,Not Verified,01-12-2007,Fully Paid,VA,8.70%
205,166437,166419,9600,C,C4,RENT,42500,Not Verified,01-12-2007,Fully Paid,MA,11.22%
206,166534,163941,16000,C,C5,RENT,44400,Not Verified,01-12-2007,Charged Off,FL,11.54%
207,166546,166498,3000,A,A2,RENT,72000,Not Verified,01-11-2007,Fully Paid,MD,7.43%
208,166683,163526,6500,A,A3,OWN,48000,Not Verified,01-12-2007,Fully Paid,NC,7.75%
209,166747,166429,5000,D,D1,OWN,40000,Not Verified,01-12-2007,Charged Off,FL,11.86%
210,167189,167147,4900,C,C1,RENT,44000,Not Verified,01-12-2007,Charged Off,NY,10.28%
211,167205,167144,15000,C,C1,RENT,50000,Not Verified,01-12-2007,Fully Paid,NJ,10.28%
212,167584,167573,10000,B,B5,RENT,72500,Not Verified,01-12-2007,Charged Off,FL,9.96%
213,167645,163382,10000,B,B1,RENT,24000,Not Verified,01-12-2007,Fully Paid,WY,8.70%
214,167846,166657,11300,D,D2,RENT,33600,Not Verified,01-12-2007,Fully Paid,IN,12.17%
215,168100,167970,18000,D,D2,MORTGAGE,110244,Not Verified,01-12-2007,Fully Paid,CO,12.17%
216,168190,168175,3975,D,D2,RENT,27000,Not Verified,01-12-2007,Charged Off,NY,12.17%
217,168222,168212,25000,D,D1,RENT,52000,Not Verified,01-12-2007,Fully Paid,AZ,11.86%
218,169044,153468,18500,C,C3,MORTGAGE,52000,Not Verified,01-12-2007,Fully Paid,SC,10.91%
219,169254,168673,17000,B,B1,MORTGAGE,55900,Not Verified,01-12-2007,Fully Paid,GA,8.70%
220,169354,169334,5400,B,B3,OWN,42000,Not Verified,01-12-2007,Fully Paid,AL,9.33%
221,169453,157525,18500,C,C3,RENT,36000,Not Verified,01-12-2007,Fully Paid,WA,10.91%
222,169525,142952,9000,B,B5,RENT,38000,Not Verified,01-12-2007,Fully Paid,NY,9.96%
223,169793,164864,16000,D,D1,OWN,86400,Not Verified,01-12-2007,Charged Off,GA,11.86%
224,170488,165737,5000,B,B1,MORTGAGE,24000,Not Verified,01-12-2007,Fully Paid,FL,8.70%
225,170528,165069,12000,C,C2,MORTGAGE,30000,Not Verified,01-12-2007,Fully Paid,MO,10.59%
226,170929,170462,9000,D,D3,MORTGAGE,52000,Not Verified,01-12-2007,Fully Paid,NY,12.49%
227,171220,170849,20000,C,C5,MORTGAGE,96000,Not Verified,01-12-2007,Charged Off,NC,11.54%
228,171298,171282,7000,A,A2,RENT,43000,Not Verified,01-12-2007,Fully Paid,KY,7.43%
229,172644,172641,12000,C,C1,MORTGAGE,97000,Not Verified,01-12-2007,Fully Paid,UT,10.28%
230,172802,171004,5000,B,B1,RENT,48000,Not Verified,01-12-2007,Fully Paid,NJ,8.70%
231,173029,173017,9600,D,D2,RENT,60000,Not Verified,01-12-2007,Charged Off,CO,12.17%
232,173981,173944,3200,C,C1,RENT,75000,Not Verified,01-12-2007,Fully Paid,WA,10.28%
233,174377,174280,4800,B,B4,MORTGAGE,60000,Not Verified,01-12-2007,Fully Paid,AL,9.64%
234,175056,174986,20000,C,C2,MORTGAGE,108000,Not Verified,01-12-2007,Fully Paid,AL,10.59%
235,175147,175123,2400,E,E2,RENT,47000,Not Verified,01-12-2007,Fully Paid,NJ,13.75%
236,175193,173899,7500,B,B2,RENT,19440,Not Verified,01-12-2007,Fully Paid,FL,9.01%
237,175582,174945,10000,D,D4,RENT,58800,Not Verified,01-12-2007,Fully Paid,WI,12.80%
238,176062,176043,2800,D,D2,MORTGAGE,45000,Not Verified,01-12-2007,Charged Off,NY,12.17%
239,176206,176187,3000,B,B3,RENT,36600,Not Verified,01-12-2007,Fully Paid,ME,9.33%
240,176610,152731,2975,B,B5,RENT,25000,Not Verified,01-12-2007,Fully Paid,IN,9.96%
241,176942,176612,16500,D,D4,RENT,62000,Not Verified,01-12-2007,Fully Paid,NY,12.80%
242,176995,176989,25000,E,E4,MORTGAGE,80000,Not Verified,01-12-2007,Charged Off,CO,14.38%
243,177075,177072,15000,A,A5,RENT,77000,Not Verified,01-12-2007,Fully Paid,NC,8.38%
244,177259,154006,17950,C,C3,RENT,75000,Not Verified,01-12-2007,Fully Paid,WA,10.91%
245,177913,171100,15000,B,B4,MORTGAGE,19500,Not Verified,01-12-2007,Fully Paid,NY,9.64%
246,178157,177995,14400,D,D4,RENT,36120,Not Verified,01-12-2007,Charged Off,NE,12.80%
247,178236,178070,12000,D,D2,RENT,24000,Not Verified,01-12-2007,Fully Paid,FL,12.17%
248,178239,176992,7000,D,D1,RENT,50400,Not Verified,01-12-2007,Fully Paid,NJ,11.86%
249,178977,175577,25000,B,B4,MORTGAGE,75000,Not Verified,01-01-2008,Charged Off,NJ,9.64%
250,179020,178968,9325,C,C3,RENT,70522,Not Verified,01-12-2007,Fully Paid,VA,10.91%
251,179897,179879,25000,D,D3,MORTGAGE,78862,Not Verified,01-12-2007,Fully Paid,NY,12.49%
252,180005,177903,4000,A,A3,RENT,24000,Not Verified,01-12-2007,Fully Paid,NC,7.75%
253,180535,180337,3500,C,C1,MORTGAGE,48000,Not Verified,01-12-2007,Fully Paid,FL,10.28%
254,180614,180561,24625,E,E3,MORTGAGE,120000,Not Verified,01-12-2007,Fully Paid,NY,14.07%
255,180675,180658,25000,C,C3,MORTGAGE,73000,Not Verified,01-12-2007,Charged Off,FL,10.91%
256,180712,170292,22550,F,F4,MORTGAGE,34992,Not Verified,01-12-2007,Fully Paid,IN,15.96%
257,181036,178271,18000,B,B3,RENT,60000,Not Verified,01-12-2007,Fully Paid,NY,9.33%
258,181590,171765,12000,D,D5,RENT,105000,Not Verified,01-12-2007,Fully Paid,NY,13.12%
259,181701,181614,5000,D,D4,RENT,25480,Not Verified,01-12-2007,Fully Paid,NY,12.80%
260,182089,182083,21000,B,B5,MORTGAGE,54099,Not Verified,01-12-2007,Fully Paid,GA,9.96%
261,182554,182441,4000,C,C5,RENT,50952,Not Verified,01-12-2007,Fully Paid,FL,11.54%
262,182589,182527,8800,B,B3,OWN,25000,Not Verified,01-12-2007,Fully Paid,NJ,9.33%
263,182845,182839,25000,B,B4,RENT,48000,Not Verified,01-12-2007,Fully Paid,IN,9.64%
264,183801,179703,15450,C,C3,RENT,111000,Not Verified,01-12-2007,Fully Paid,CT,10.91%
